clusterhead_1,clusterhead_2,distance
4,6,155.508843
4,8,307.663390
4,10,284.993206
4,12,179.299208
4,19,428.034862
4,24,164.486266
4,26,260.312641
4,28,375.843586
4,30,364.736732
4,32,258.878631
4,44,315.236455
4,46,391.559037
4,47,437.847842
4,49,539.549260
4,53,408.552871
4,67,555.444308
4,69,626.130463
4,71,541.487576
4,73,555.041870
4,75,557.565019
4,80,674.980433
4,86,675.566306
4,88,717.130468
4,92,678.613679
4,94,693.753924
4,99,852.656081
6,8,155.116800
6,10,426.323965
6,12,307.821732
6,19,272.704430
6,24,201.740209
6,26,146.995603
6,28,239.237857
6,30,480.848666
6,32,328.216168
6,44,302.151693
6,46,316.276535
6,47,337.520684
6,49,409.325082
6,53,420.065863
6,67,478.899456
6,69,517.097049
6,71,583.056733
6,73,553.112974
6,75,519.974897
6,80,722.539710
6,86,615.653010
6,88,625.818053
6,92,695.479912
6,94,667.416469
6,99,760.904880
8,10,581.161625
8,12,461.629347
8,19,136.273457
8,24,338.654913
8,26,188.411422
8,28,189.501418
8,30,629.370091
8,32,464.229939
8,44,394.988122
8,46,348.916809
8,47,333.330970
8,49,343.363254
8,53,516.951561
8,67,488.180025
8,69,478.779416
8,71,691.024689
8,73,630.552098
8,75,567.955736
8,80,830.114941
8,86,634.141859
8,88,605.765030
8,92,781.445317
8,94,717.447510
8,99,734.216227
10,12,122.837414
10,19,685.339652
10,24,279.833447
10,26,471.899306
10,28,593.395241
10,30,131.882920
10,32,220.880759
10,44,381.213343
10,46,518.988541
10,47,591.500490
10,49,729.033784
10,53,392.094094
10,67,651.166929
10,69,768.946582
10,71,428.288947
10,73,521.536463
10,75,586.869648
10,80,527.855536
10,86,725.703705
10,88,819.096173
10,92,588.921394
10,94,681.415088
10,99,944.655431
12,19,562.842302
12,24,160.452446
12,26,349.695412
12,28,471.609962
12,30,185.868618
12,32,142.091909
12,44,282.463813
12,46,410.479169
12,47,479.009179
12,49,611.680612
12,53,324.381897
12,67,554.171235
12,69,661.424515
12,71,409.843630
12,73,467.508344
12,75,509.870880
12,80,531.346278
12,86,644.590678
12,88,723.011229
12,92,563.115959
12,94,622.857137
12,99,852.929267
19,24,419.540405
19,26,230.860056
19,28,149.000317
19,30,714.657088
19,32,536.089984
19,44,429.084875
19,46,336.996435
19,47,291.469666
19,49,244.084292
19,53,544.587059
19,67,439.192901
19,69,390.744051
19,71,721.751126
19,73,633.200557
19,75,547.031991
19,80,856.431592
19,86,583.915974
19,88,525.382501
19,92,786.610484
19,94,691.076551
19,99,644.446323
24,26,194.919850
24,28,314.584792
24,30,295.332468
24,32,126.932541
24,44,153.529263
24,46,257.364784
24,47,321.134898
24,49,451.245856
24,53,245.228524
24,67,412.041086
24,69,506.633418
24,71,390.435374
24,73,390.901761
24,75,396.616832
24,80,528.237108
24,86,520.505580
24,88,579.264308
24,92,518.554841
24,94,529.864420
24,99,712.621648
26,28,122.478993
26,30,486.970225
26,32,305.762729
26,44,208.502036
26,46,174.720582
26,47,190.681150
26,49,279.382632
26,53,329.778982
26,67,333.507245
26,69,373.168780
26,71,505.411586
26,73,442.868436
26,75,388.837786
26,80,643.737962
26,86,473.284990
26,88,478.902948
26,92,593.178479
26,94,538.475155
26,99,614.132337
28,30,601.027608
28,32,416.169808
28,44,289.491509
28,46,188.001886
28,47,149.360344
28,49,170.516998
28,53,400.011524
28,67,303.283877
28,69,292.401876
28,71,576.502190
28,73,484.205521
28,75,400.382970
