node_id,join_start_time,join_complete_time,join_latency
0,12.244593,27.827509,15.582916
1,37.033387,37.336617,0.303230
2,1.589134,28.059498,26.470364
3,30.100936,36.759775,6.658838
4,35.066249,37.124873,2.058624
5,13.909535,30.253367,16.343832
6,7.982966,30.996371,23.013405
7,10.765688,31.595024,20.829336
8,18.996365,27.284846,8.288481
9,13.226043,27.831715,14.605672
10,6.241308,34.376076,28.134768
11,14.658914,34.046358,19.387444
12,18.081751,29.977210,11.895459
13,33.063166,34.828344,1.765178
14,42.765886,45.343353,2.577467
15,22.670515,30.838331,8.167816
16,17.763535,26.512062,8.748527
17,34.177383,36.443418,2.266034
18,26.706994,33.803990,7.096997
19,13.497391,29.655565,16.158174
20,10.980759,30.011475,19.030716
21,2.796897,30.370340,27.573443
22,20.058239,30.548225,10.489986
23,28.359003,32.238389,3.879386
24,24.961563,25.990264,1.028701
25,7.143580,25.637794,18.494214
26,26.948864,29.064712,2.115848
27,29.176646,29.622067,0.445421
28,6.916587,30.337977,23.421390
29,43.055145,48.555688,5.500542
30,34.024061,35.258941,1.234881
31,29.794421,31.033397,1.238976
32,27.661295,28.531870,0.870575
33,5.727587,25.195586,19.467999
34,38.429937,39.015103,0.585166
35,7.907888,29.622103,21.714216
36,35.984033,37.841005,1.856972
37,25.384084,35.325469,9.941385
38,42.083467,42.723393,0.639926
39,18.695693,32.564411,13.868718
40,0.100000,25.100000,25.000000
41,24.430285,25.429848,0.999563
42,49.266069,49.739762,0.473693
43,12.043580,30.172654,18.129074
44,36.595380,36.776439,0.181059
45,26.635308,35.867955,9.232647
46,47.342434,48.214293,0.871859
47,30.329696,32.918785,2.589089
48,37.763260,38.398407,0.635147
49,19.949615,25.557535,5.607920
