node_id,death_time,primary_role,e0_mah
19,1308.863267,UNREGISTERED,0.5000
35,1323.679664,UNREGISTERED,0.5000
20,1387.397852,CLUSTER_HEAD,0.5000
25,1522.282016,REGISTERED,0.5000
30,1553.053781,CLUSTER_HEAD,0.5000
44,1623.663512,CLUSTER_HEAD,0.5000
17,1697.014782,UNREGISTERED,0.5000
37,1775.730233,ROUTER,0.5000
33,1828.271807,ROUTER,0.5000
28,2089.679495,REGISTERED,0.5000
27,2192.259782,REGISTERED,0.5000
13,2276.864066,CLUSTER_HEAD,0.5000
22,2287.659357,REGISTERED,0.5000
34,2299.520240,REGISTERED,0.5000
24,2363.218092,CLUSTER_HEAD,0.5000
29,2497.763324,REGISTERED,0.5000
40,2565.914627,CLUSTER_HEAD,0.5000
9,2622.517106,REGISTERED,0.5000
21,2655.149013,REGISTERED,0.5000
3,2767.504462,REGISTERED,0.5000
38,2796.731112,REGISTERED,0.5000
5,2818.895987,REGISTERED,0.5000
10,2898.105470,REGISTERED,0.5000
8,2902.588939,CLUSTER_HEAD,0.5000
42,3556.251230,CLUSTER_HEAD,0.5000
4,4373.478802,CLUSTER_HEAD,0.5000
14,4470.092692,REGISTERED,0.5000
