node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.000000,110.779486,183.586478,248.182927,294.072751,362.375234,451.925380,512.342446,59.243935,115.650724,197.972746,246.731242,312.634579,413.020890,480.610432,533.305262,143.557339,182.753324,220.121227,287.336697,335.774326,408.505505,504.392433,583.458919,214.636803,226.105658,263.282783,313.277146,406.289066,462.418823,508.848561,599.917982,287.853567,279.926589,344.065085,361.313344,433.630325,506.562155,566.611054,641.678223,340.172566,374.062266,406.832265,413.920596,476.759225,570.770400,586.528938,694.723766,432.002572,441.001330
1,110.779486,0.000000,81.940530,141.523825,192.162233,257.709045,348.234743,410.568708,145.433159,77.612559,134.242024,169.690883,226.924282,323.988248,390.509021,440.639456,197.470328,178.859070,173.202870,239.200871,263.534052,332.250504,424.335051,498.703912,260.075191,252.491235,254.277371,275.315482,349.585509,403.931317,435.581947,527.522824,327.280127,301.810059,341.512132,339.439277,397.901363,455.536449,510.565646,573.271485,384.469946,394.914484,404.048122,400.022005,449.852677,528.342462,535.577291,637.909676,472.663295,466.615943
2,183.586478,81.940530,0.000000,65.836016,111.268700,178.830678,268.714682,330.085466,201.531316,92.482866,84.308558,98.956282,147.602983,242.680461,308.850331,358.719287,224.888755,169.455457,128.859250,183.983595,190.106461,255.153933,344.924067,417.761865,272.854385,252.394182,227.510309,224.542613,282.428616,334.426282,358.556424,450.185601,329.545501,293.151401,311.776021,295.902460,342.284988,389.169242,440.692438,497.213071,386.844379,379.198229,370.741200,359.064348,398.342171,465.611872,468.043940,566.486272,468.479033,451.328844
3,248.182927,141.523825,65.836016,0.000000,55.601406,116.361591,206.977953,269.950065,267.251915,156.262729,120.400665,103.060582,118.695570,198.604200,261.001214,307.178237,285.292274,218.222607,159.351685,195.553669,172.960186,225.459205,306.310455,372.726344,326.816547,301.121007,261.410289,237.474900,270.754999,317.059383,326.056574,415.539655,377.082790,335.708693,339.228122,312.027696,343.753962,375.205952,420.295607,464.850780,433.211863,414.785781,393.322258,375.247422,402.791095,455.166446,450.815245,541.935871,509.736514,485.710445
4,294.072751,192.162233,111.268700,55.601406,0.000000,69.644702,157.875514,218.816768,305.740849,191.364107,132.863095,94.137420,75.948829,143.624062,205.405611,251.862219,310.382565,231.280023,160.641858,176.799910,133.474245,175.644290,252.075594,317.215645,341.901998,310.693962,257.639505,216.851034,230.347565,272.098758,273.690956,362.012237,383.453235,337.689022,326.746593,290.772949,310.430013,331.338714,372.517335,411.881130,437.289321,408.066156,375.318601,352.354789,370.458863,412.469004,404.409942,491.615426,507.282471,476.727221
5,362.375234,257.709045,178.830678,116.361591,69.644702,0.000000,90.620223,154.024351,375.368441,261.007893,199.370065,154.613762,107.819650,116.893661,163.357613,200.939290,378.139695,295.500101,221.338478,221.959213,157.226171,170.004129,222.854762,274.752337,405.645650,371.977847,311.503422,257.570886,242.569908,272.600363,252.551169,333.344198,441.967991,393.913096,371.497560,327.552793,330.740994,331.965341,362.753213,384.772933,493.741541,456.488489,413.390034,385.408754,390.448327,413.437284,397.351661,472.624420,558.166207,522.229671
6,451.925380,348.234743,268.714682,206.977953,157.875514,90.620223,0.000000,64.546645,462.061324,347.450723,279.149889,229.730023,168.067546,110.054738,113.696597,129.886600,457.464754,369.558536,292.883083,275.991430,197.708937,173.807034,183.382145,210.860846,477.151694,440.087297,370.909655,303.837074,256.492197,268.432709,221.197025,285.229580,504.703265,454.200105,416.982676,364.806405,347.237576,323.144278,338.388585,336.368367,552.587583,504.512391,448.750056,415.306286,403.374531,400.704585,374.832937,431.817417,607.867271,564.874559
7,512.342446,410.568708,330.085466,269.950065,218.816768,154.024351,64.546645,0.000000,519.299882,405.031491,332.605460,281.546620,215.645651,132.712598,99.066184,85.810167,508.505382,417.681271,340.796162,313.699830,232.421857,189.035884,163.645361,165.960799,522.135673,483.054640,409.115872,335.556969,269.801081,268.234180,204.054746,249.946183,543.032252,491.472044,444.772696,388.444687,357.404824,316.392307,319.379643,298.913257,587.575545,532.427639,468.878275,432.471920,409.084413,388.113371,355.856541,397.695763,635.665940,588.131146
8,59.243935,145.433159,201.531316,267.251915,305.740849,375.368441,462.061324,519.299882,0.000000,114.615228,190.182081,241.855316,309.780647,409.505161,476.626996,530.739983,86.883942,145.956275,200.503701,263.129039,322.907673,395.859674,492.355670,573.765506,157.434662,173.519894,222.014567,282.604129,381.988076,437.789207,492.164179,581.410370,230.606524,226.942329,297.306862,321.595563,398.190995,477.156694,538.964783,620.223318,281.789271,319.697249,358.870375,369.797338,436.694261,536.250255,555.980481,666.155379,373.660968,384.981182
9,115.650724,77.612559,92.482866,156.262729,191.364107,261.007893,347.450723,405.031491,114.615228,0.000000,82.325797,131.676973,198.619413,299.071381,366.623415,419.985596,133.858619,101.257242,108.801045,177.154943,220.197398,292.862067,388.757667,468.088754,188.601084,176.506981,177.993865,208.458309,294.274745,350.164569,393.511567,484.820587,252.511324,224.648544,265.035550,267.228390,331.410623,397.284084,455.644745,527.346045,310.051642,317.376244,327.951813,326.122051,380.214153,465.765535,477.632934,583.855774,396.848378,389.173739
