node_id,role,addr,ch_addr,battery_pct,downstream_ch_addr,neighbors,members,child_networks
0,REGISTERED,11.3,,97.48,,"[('9.2', '?', 2), ('11.254', 'CLUSTER_HEAD', 1), ('11.2', 'REGISTERED', 1), ('7.4', '?', 2), ('9.7', '?', 2), ('7.5', '?', 2), ('11.4', '?', 2)]",[],[]
1,REGISTERED,11.2,,94.60,,"[('9.2', 'ROUTER', 1), ('8.2', '?', 2), ('9.254', '?', 2), ('11.254', 'CLUSTER_HEAD', 1), ('11.3', 'REGISTERED', 1), ('7.4', 'REGISTERED', 1), ('7.254', '?', 2), ('7.2', '?', 2), ('9.7', '?', 2), ('7.5', 'REGISTERED', 1), ('11.4', '?', 2)]",[],[]
2,REGISTERED,7.5,,96.73,,"[('7.2', 'REGISTERED', 1), ('6.2', '?', 2), ('7.254', 'CLUSTER_HEAD', 1), ('8.254', '?', 2), ('8.2', '?', 2), ('7.3', '?', 2), ('7.4', 'REGISTERED', 1), ('9.2', '?', 2), ('11.2', 'REGISTERED', 1), ('9.7', '?', 2), ('11.254', '?', 2), ('11.3', '?', 2)]",[],[]
3,CLUSTER_HEAD,7.1,7.254,91.89,,"[('6.2', 'ROUTER', 1), ('6.254', '?', 2), ('7.2', 'REGISTERED', 1), ('8.254', '?', 2), ('8.2', '?', 2), ('7.3', 'REGISTERED', 1), ('3.5', '?', 2), ('3.3', '?', 2), ('6.3', '?', 2), ('5.3', '?', 2), ('7.4', 'REGISTERED', 1), ('9.2', '?', 2), ('11.2', '?', 2), ('9.7', '?', 2), ('7.5', 'REGISTERED', 1)]","[('7.2', 11), ('7.3', 12), ('7.4', 10), ('7.5', 2)]",[]
4,ROUTER,6.2,,89.72,7.254,"[('5.2', '?', 2), ('6.254', 'CLUSTER_HEAD', 1), ('7.254', 'CLUSTER_HEAD', 1), ('7.2', 'REGISTERED', 1), ('8.254', '?', 2), ('8.2', '?', 2), ('7.3', 'REGISTERED', 1), ('3.5', '?', 2), ('3.3', '?', 2), ('6.3', 'REGISTERED', 1), ('5.3', '?', 2), ('5.4', '?', 2), ('7.4', '?', 2), ('7.5', '?', 2), ('12.254', '?', 2)]",[],[]
5,CLUSTER_HEAD,6.1,6.254,86.95,,"[('5.2', 'ROUTER', 1), ('5.254', '?', 2), ('6.2', 'ROUTER', 1), ('7.2', '?', 2), ('7.3', 'REGISTERED', 1), ('3.5', '?', 2), ('3.3', '?', 2), ('6.3', 'REGISTERED', 1), ('5.3', 'REGISTERED', 1), ('7.254', '?', 2), ('5.4', '?', 2), ('5.5', '?', 2), ('12.254', '?', 2)]","[('6.2', 4), ('6.3', 6)]","[(7, '6.2', 'VALID')]"
6,REGISTERED,6.3,,92.90,,"[('6.2', 'ROUTER', 1), ('6.254', 'CLUSTER_HEAD', 1), ('7.254', '?', 2), ('7.2', '?', 2), ('7.3', '?', 2), ('5.2', 'ROUTER', 1), ('5.254', '?', 2), ('5.3', 'REGISTERED', 1), ('3.5', '?', 2), ('3.3', '?', 2), ('5.4', 'ROUTER', 1), ('5.5', '?', 2), ('12.254', 'CLUSTER_HEAD', 1)]",[],[]
7,CLUSTER_HEAD,12.1,12.254,95.45,,"[('5.2', 'ROUTER', 1), ('5.254', '?', 2), ('6.254', '?', 2), ('6.3', 'REGISTERED', 1), ('5.3', '?', 2), ('5.4', 'ROUTER', 1), ('5.5', '?', 2), ('6.2', '?', 2)]",[],[]
8,CLUSTER_HEAD,11.1,11.254,92.70,,"[('9.2', 'ROUTER', 1), ('8.2', '?', 2), ('9.254', '?', 2), ('11.2', 'REGISTERED', 1), ('11.3', 'REGISTERED', 1), ('7.4', '?', 2), ('9.7', 'REGISTERED', 1), ('9.3', '?', 2), ('7.5', '?', 2), ('11.4', 'REGISTERED', 1)]","[('11.2', 1), ('11.3', 0), ('11.4', 16)]",[]
9,ROUTER,9.2,,86.37,11.254,"[('8.2', 'ROUTER', 1), ('8.254', '?', 2), ('7.2', '?', 2), ('9.254', 'CLUSTER_HEAD', 1), ('9.3', '?', 2), ('9.4', '?', 2), ('11.254', 'CLUSTER_HEAD', 1), ('9.5', '?', 2), ('11.2', 'REGISTERED', 1), ('11.3', '?', 2), ('9.6', '?', 2), ('7.4', 'REGISTERED', 1), ('7.254', '?', 2), ('9.7', 'REGISTERED', 1), ('7.5', '?', 2), ('11.4', 'REGISTERED', 1)]",[],[]
