seq_no,packet_type,origin_uid,dst_addr,final_uid,created_time,delivered_time,delay,hop_count,path
1,JOIN_REQ,27,"[1,254]",18,25.708293,25.708377,0.000085,1,27->18
32,JOIN_ACK,18,"[255,255]",17,25.708377,25.708429,0.000051,1,18->17
32,JOIN_ACK,18,"[255,255]",28,25.708377,25.708439,0.000062,1,18->17->28
32,JOIN_ACK,18,"[255,255]",8,25.708377,25.708450,0.000072,1,18->17->28->8
32,JOIN_ACK,18,"[255,255]",27,25.708377,25.708462,0.000085,1,18->17->28->8->27
3,ACK,27,"[1,254]",18,25.708462,25.708546,0.000085,1,27->18
12,JOIN_REQ,38,"[1,1]",27,25.840275,25.840379,0.000104,1,38->27
6,NETID_REQ,27,"[1,254]",18,25.840379,25.840463,0.000085,1,27->18
34,NETID_RESP,18,"[1,1]",27,25.840463,25.840548,0.000085,2,18->27
34,NETID_RESP,18,"[1,1]",27,25.840463,25.840548,0.000085,2,18->27->27
9,JOIN_ACK,27,"[255,255]",17,25.840548,25.840610,0.000062,1,27->17
9,JOIN_ACK,27,"[255,255]",28,25.840548,25.840610,0.000062,1,27->17->28
9,JOIN_ACK,27,"[255,255]",37,25.840548,25.840627,0.000080,1,27->17->28->37
9,JOIN_ACK,27,"[255,255]",18,25.840548,25.840632,0.000085,1,27->17->28->37->18
10,ACK,27,"[1,254]",18,25.840548,25.840632,0.000085,1,27->18
9,JOIN_ACK,27,"[255,255]",38,25.840548,25.840652,0.000104,1,27->17->28->37->18->38
9,JOIN_ACK,27,"[255,255]",36,25.840548,25.840655,0.000107,1,27->17->28->37->18->38->36
14,ACK,38,"[2,254]",27,25.840652,25.840755,0.000104,1,38->27
18,ACK,38,"[1,1]",27,25.840859,25.840963,0.000104,1,38->27
13,JOIN_REQ,47,"[2,254]",38,26.262648,26.262731,0.000083,1,47->38
21,JOIN_ACK,38,"[255,255]",37,26.262731,26.262765,0.000034,1,38->37
21,JOIN_ACK,38,"[255,255]",48,26.262731,26.262771,0.000039,1,38->37->48
21,JOIN_ACK,38,"[255,255]",47,26.262731,26.262814,0.000083,1,38->37->48->47
21,JOIN_ACK,38,"[255,255]",49,26.262731,26.262815,0.000084,1,38->37->48->47->49
