time,sent,delivered,pdr_pct,packet_loss_prob,tree_only
0.000000,0,0,0.0000,0.01,False
5.000000,0,0,0.0000,0.01,False
10.000000,0,0,0.0000,0.01,False
15.000000,0,0,0.0000,0.01,False
20.000000,0,0,0.0000,0.01,False
25.000000,0,0,0.0000,0.01,False
30.000000,94,55,58.5106,0.01,False
35.000000,292,219,75.0000,0.01,False
40.000000,518,427,82.4324,0.01,False
45.000000,768,660,85.9375,0.01,False
50.000000,1062,931,87.6648,0.01,False
55.000000,1369,1195,87.2900,0.01,False
60.000000,1657,1452,87.6282,0.01,False
65.000000,1962,1727,88.0224,0.01,False
70.000000,2272,2024,89.0845,0.01,False
75.000000,2579,2307,89.4533,0.01,False
80.000000,2887,2599,90.0242,0.01,False
85.000000,3202,2899,90.5372,0.01,False
90.000000,3517,3197,90.9013,0.01,False
95.000000,3830,3498,91.3316,0.01,False
100.000000,4140,3789,91.5217,0.01,False
105.000000,4459,4099,91.9264,0.01,False
110.000000,4769,4396,92.1787,0.01,False
115.000000,5083,4700,92.4651,0.01,False
120.000000,5394,4993,92.5658,0.01,False
125.000000,5708,5297,92.7996,0.01,False
130.000000,6019,5595,92.9556,0.01,False
135.000000,6334,5897,93.1007,0.01,False
140.000000,6643,6191,93.1958,0.01,False
145.000000,6957,6490,93.2873,0.01,False
150.000000,7267,6788,93.4086,0.01,False
155.000000,7585,7092,93.5003,0.01,False
160.000000,7901,7393,93.5704,0.01,False
165.000000,8216,7686,93.5492,0.01,False
170.000000,8534,7988,93.6021,0.01,False
175.000000,8851,8286,93.6165,0.01,False
180.000000,9167,8585,93.6511,0.01,False
185.000000,9470,8877,93.7381,0.01,False
190.000000,9781,9173,93.7839,0.01,False
195.000000,10095,9470,93.8088,0.01,False
200.000000,10406,9770,93.8881,0.01,False
205.000000,10717,10072,93.9815,0.01,False
210.000000,11025,10364,94.0045,0.01,False
215.000000,11342,10673,94.1016,0.01,False
220.000000,11662,10975,94.1091,0.01,False
225.000000,11986,11290,94.1932,0.01,False
230.000000,12292,11584,94.2402,0.01,False
235.000000,12611,11893,94.3066,0.01,False
240.000000,12924,12190,94.3206,0.01,False
245.000000,13240,12488,94.3202,0.01,False
250.000000,13552,12782,94.3182,0.01,False
255.000000,13868,13087,94.3683,0.01,False
260.000000,14182,13386,94.3873,0.01,False
265.000000,14492,13683,94.4176,0.01,False
270.000000,14817,13991,94.4253,0.01,False
275.000000,15136,14296,94.4503,0.01,False
280.000000,15451,14596,94.4664,0.01,False
285.000000,15763,14896,94.4998,0.01,False
290.000000,16068,15190,94.5357,0.01,False
295.000000,16382,15489,94.5489,0.01,False
300.000000,16693,15785,94.5606,0.01,False
305.000000,17012,16091,94.5862,0.01,False
310.000000,17315,16379,94.5943,0.01,False
315.000000,17631,16686,94.6401,0.01,False
320.000000,17941,16981,94.6491,0.01,False
325.000000,18261,17281,94.6334,0.01,False
330.000000,18570,17577,94.6527,0.01,False
335.000000,18876,17875,94.6970,0.01,False
340.000000,19194,18177,94.7015,0.01,False
345.000000,19509,18478,94.7153,0.01,False
350.000000,19809,18766,94.7347,0.01,False
355.000000,20119,19057,94.7214,0.01,False
360.000000,20439,19361,94.7258,0.01,False
365.000000,20743,19654,94.7500,0.01,False
370.000000,21054,19957,94.7896,0.01,False
375.000000,21361,20250,94.7989,0.01,False
380.000000,21681,20555,94.8065,0.01,False
385.000000,21996,20858,94.8263,0.01,False
390.000000,22306,21155,94.8400,0.01,False
395.000000,22626,21458,94.8378,0.01,False
400.000000,22935,21755,94.8550,0.01,False
405.000000,23251,22054,94.8518,0.01,False
410.000000,23558,22348,94.8637,0.01,False
415.000000,23873,22653,94.8896,0.01,False
420.000000,24175,22944,94.9080,0.01,False
425.000000,24491,23252,94.9410,0.01,False
430.000000,24808,23562,94.9774,0.01,False
435.000000,25125,23869,95.0010,0.01,False
440.000000,25432,24161,95.0024,0.01,False
445.000000,25745,24463,95.0204,0.01,False
450.000000,26064,24770,95.0353,0.01,False
455.000000,26366,25058,95.0391,0.01,False
460.000000,26689,25368,95.0504,0.01,False
465.000000,27007,25675,95.0679,0.01,False
470.000000,27320,25971,95.0622,0.01,False
475.000000,27633,26274,95.0820,0.01,False
480.000000,27948,26580,95.1052,0.01,False
485.000000,28247,26872,95.1322,0.01,False
490.000000,28570,27181,95.1383,0.01,False
495.000000,28886,27485,95.1499,0.01,False
500.000000,29199,27782,95.1471,0.01,False
505.000000,29507,28083,95.1740,0.01,False
510.000000,29821,28387,95.1913,0.01,False
515.000000,30138,28691,95.1988,0.01,False
520.000000,30458,28998,95.2065,0.01,False
525.000000,30780,29305,95.2079,0.01,False
530.000000,31087,29593,95.1941,0.01,False
535.000000,31403,29900,95.2138,0.01,False
540.000000,31711,30193,95.2130,0.01,False
545.000000,32030,30500,95.2232,0.01,False
550.000000,32351,30806,95.2243,0.01,False
555.000000,32658,31102,95.2355,0.01,False
560.000000,32969,31407,95.2622,0.01,False
565.000000,33284,31704,95.2530,0.01,False
570.000000,33600,32000,95.2381,0.01,False
575.000000,33908,32296,95.2460,0.01,False
580.000000,34225,32599,95.2491,0.01,False
585.000000,34539,32900,95.2546,0.01,False
590.000000,34846,33193,95.2563,0.01,False
595.000000,35162,33501,95.2762,0.01,False
600.000000,35477,33802,95.2786,0.01,False
605.000000,35792,34101,95.2755,0.01,False
610.000000,36105,34397,95.2694,0.01,False
615.000000,36422,34702,95.2776,0.01,False
620.000000,36737,35012,95.3045,0.01,False
625.000000,37054,35314,95.3042,0.01,False
630.000000,37373,35620,95.3094,0.01,False
635.000000,37677,35915,95.3234,0.01,False
640.000000,37989,36214,95.3276,0.01,False
645.000000,38310,36512,95.3067,0.01,False
650.000000,38605,36722,95.1224,0.01,False
655.000000,38907,36902,94.8467,0.01,False
660.000000,39161,37022,94.5379,0.01,False
665.000000,39393,37112,94.2096,0.01,False
670.000000,39626,37207,93.8954,0.01,False
675.000000,39856,37306,93.6020,0.01,False
680.000000,40102,37489,93.4841,0.01,False
685.000000,40391,37738,93.4317,0.01,False
690.000000,40732,38051,93.4180,0.01,False
695.000000,41071,38373,93.4309,0.01,False
700.000000,41408,38697,93.4530,0.01,False
705.000000,41752,39027,93.4734,0.01,False
710.000000,42083,39337,93.4748,0.01,False
715.000000,42421,39651,93.4702,0.01,False
720.000000,42763,39968,93.4640,0.01,False
725.000000,43107,40276,93.4326,0.01,False
730.000000,43429,40580,93.4399,0.01,False
735.000000,43768,40889,93.4221,0.01,False
740.000000,44100,41197,93.4172,0.01,False
745.000000,44439,41505,93.3977,0.01,False
750.000000,44778,41817,93.3874,0.01,False
755.000000,45104,42127,93.3997,0.01,False
760.000000,45441,42437,93.3892,0.01,False
765.000000,45775,42752,93.3960,0.01,False
770.000000,46112,43068,93.3987,0.01,False
775.000000,46449,43378,93.3884,0.01,False
780.000000,46791,43696,93.3855,0.01,False
785.000000,47124,44007,93.3855,0.01,False
790.000000,47463,44315,93.3675,0.01,False
795.000000,47802,44640,93.3852,0.01,False
800.000000,48124,44922,93.3464,0.01,False
805.000000,48448,45212,93.3207,0.01,False
810.000000,48755,45499,93.3217,0.01,False
815.000000,49065,45788,93.3211,0.01,False
820.000000,49392,46099,93.3329,0.01,False
825.000000,49726,46419,93.3496,0.01,False
830.000000,50056,46719,93.3335,0.01,False
835.000000,50382,47024,93.3349,0.01,False
840.000000,50719,47344,93.3457,0.01,False
845.000000,51048,47654,93.3514,0.01,False
850.000000,51372,47958,93.3544,0.01,False
855.000000,51693,48211,93.2641,0.01,False
860.000000,52016,48379,93.0079,0.01,False
865.000000,52330,48528,92.7346,0.01,False
870.000000,52648,48709,92.5182,0.01,False
875.000000,52955,48861,92.2689,0.01,False
880.000000,53264,49016,92.0246,0.01,False
885.000000,53548,49180,91.8428,0.01,False
890.000000,53866,49412,91.7313,0.01,False
895.000000,54199,49698,91.6954,0.01,False
900.000000,54548,50010,91.6807,0.01,False
905.000000,54920,50352,91.6824,0.01,False
910.000000,55301,50699,91.6783,0.01,False
915.000000,55672,51046,91.6906,0.01,False
920.000000,56062,51405,91.6931,0.01,False
925.000000,56432,51747,91.6980,0.01,False
930.000000,56792,51993,91.5499,0.01,False
935.000000,57145,52210,91.3641,0.01,False
940.000000,57497,52452,91.2256,0.01,False
945.000000,57856,52710,91.1055,0.01,False
950.000000,58222,53008,91.0446,0.01,False
955.000000,58607,53349,91.0284,0.01,False
960.000000,58996,53706,91.0333,0.01,False
965.000000,59388,54068,91.0420,0.01,False
970.000000,59786,54435,91.0497,0.01,False
975.000000,60193,54819,91.0721,0.01,False
980.000000,60574,55171,91.0803,0.01,False
985.000000,60947,55521,91.0972,0.01,False
990.000000,61334,55881,91.1093,0.01,False
995.000000,61705,56224,91.1174,0.01,False
1000.000000,62079,56572,91.1290,0.01,False
1005.000000,62459,56920,91.1318,0.01,False
1010.000000,62833,57278,91.1591,0.01,False
1015.000000,63204,57616,91.1588,0.01,False
1020.000000,63578,57943,91.1369,0.01,False
1025.000000,63944,58242,91.0828,0.01,False
1030.000000,64310,58546,91.0372,0.01,False
1035.000000,64675,58863,91.0135,0.01,False
1040.000000,65046,59209,91.0264,0.01,False
1045.000000,65424,59557,91.0323,0.01,False
1050.000000,65801,59915,91.0548,0.01,False
1055.000000,66174,60262,91.0660,0.01,False
1060.000000,66551,60612,91.0760,0.01,False
1065.000000,66924,60956,91.0824,0.01,False
1070.000000,67292,61178,90.9142,0.01,False
1075.000000,67670,61390,90.7197,0.01,False
1080.000000,68031,61587,90.5278,0.01,False
1085.000000,68399,61795,90.3449,0.01,False
1090.000000,68778,62051,90.2193,0.01,False
1095.000000,69141,62325,90.1419,0.01,False
1100.000000,69512,62608,90.0679,0.01,False
1105.000000,69900,62928,90.0258,0.01,False
1110.000000,70283,63265,90.0147,0.01,False
1115.000000,70685,63641,90.0347,0.01,False
1120.000000,71074,63970,90.0048,0.01,False
1125.000000,71465,64245,89.8972,0.01,False
1130.000000,71835,64518,89.8142,0.01,False
1135.000000,72183,64782,89.7469,0.01,False
1140.000000,72544,65098,89.7359,0.01,False
1145.000000,72907,65421,89.7321,0.01,False
1150.000000,73265,65729,89.7141,0.01,False
1155.000000,73616,66035,89.7020,0.01,False
1160.000000,73949,66257,89.5982,0.01,False
1165.000000,74254,66430,89.4632,0.01,False
1170.000000,74538,66583,89.3276,0.01,False
1175.000000,74775,66710,89.2143,0.01,False
1180.000000,75029,66871,89.1269,0.01,False
1185.000000,75301,67032,89.0187,0.01,False
1190.000000,75560,67188,88.9201,0.01,False
1195.000000,75828,67325,88.7865,0.01,False
1200.000000,76077,67461,88.6746,0.01,False
1205.000000,76308,67635,88.6342,0.01,False
1210.000000,76535,67815,88.6065,0.01,False
1215.000000,76804,68039,88.5878,0.01,False
1220.000000,77113,68275,88.5389,0.01,False
1225.000000,77408,68483,88.4702,0.01,False
1230.000000,77703,68707,88.4226,0.01,False
1235.000000,77985,68924,88.3811,0.01,False
1240.000000,78260,69132,88.3363,0.01,False
1245.000000,78521,69338,88.3050,0.01,False
1250.000000,78778,69559,88.2975,0.01,False
1255.000000,79068,69772,88.2430,0.01,False
1260.000000,79392,70033,88.2117,0.01,False
1265.000000,79704,70281,88.1775,0.01,False
1270.000000,80022,70566,88.1832,0.01,False
1275.000000,80332,70841,88.1853,0.01,False
1280.000000,80649,71122,88.1871,0.01,False
1285.000000,80969,71416,88.2017,0.01,False
1290.000000,81305,71717,88.2074,0.01,False
1295.000000,81616,71992,88.2082,0.01,False
1300.000000,81933,72278,88.2160,0.01,False
1305.000000,82259,72572,88.2238,0.01,False
1310.000000,82581,72863,88.2322,0.01,False
1315.000000,82896,73132,88.2214,0.01,False
1320.000000,83192,73257,88.0577,0.01,False
1325.000000,83465,73350,87.8811,0.01,False
1330.000000,83714,73410,87.6914,0.01,False
1335.000000,83919,73454,87.5296,0.01,False
1340.000000,84084,73485,87.3947,0.01,False
1345.000000,84171,73531,87.3591,0.01,False
1350.000000,84229,73574,87.3500,0.01,False
1355.000000,84310,73636,87.3396,0.01,False
1360.000000,84470,73750,87.3091,0.01,False
1365.000000,84665,73927,87.3171,0.01,False
1370.000000,84839,74091,87.3313,0.01,False
1375.000000,85028,74270,87.3477,0.01,False
1380.000000,85199,74360,87.2780,0.01,False
1385.000000,85378,74441,87.1899,0.01,False
1390.000000,85545,74489,87.0758,0.01,False
1395.000000,85698,74540,86.9799,0.01,False
1400.000000,85803,74587,86.9282,0.01,False
1405.000000,85893,74624,86.8802,0.01,False
1410.000000,85954,74678,86.8814,0.01,False
1415.000000,86017,74741,86.8910,0.01,False
1420.000000,86078,74800,86.8979,0.01,False
1425.000000,86134,74833,86.8797,0.01,False
1430.000000,86177,74847,86.8526,0.01,False
1435.000000,86204,74852,86.8312,0.01,False
1440.000000,86226,74869,86.8288,0.01,False
1445.000000,86246,74889,86.8319,0.01,False
1450.000000,86266,74909,86.8349,0.01,False
1455.000000,86284,74927,86.8377,0.01,False
1460.000000,86303,74946,86.8406,0.01,False
1465.000000,86325,74967,86.8427,0.01,False
1470.000000,86345,74987,86.8458,0.01,False
1475.000000,86366,75008,86.8490,0.01,False
1480.000000,86384,75026,86.8517,0.01,False
1485.000000,86407,75049,86.8552,0.01,False
1490.000000,86425,75067,86.8580,0.01,False
1495.000000,86445,75087,86.8610,0.01,False
1500.000000,86465,75107,86.8640,0.01,False
1505.000000,86488,75130,86.8675,0.01,False
1510.000000,86507,75149,86.8704,0.01,False
1515.000000,86527,75168,86.8723,0.01,False
1520.000000,86548,75189,86.8755,0.01,False
1525.000000,86567,75207,86.8772,0.01,False
1530.000000,86588,75227,86.8792,0.01,False
1535.000000,86608,75247,86.8823,0.01,False
1540.000000,86628,75266,86.8841,0.01,False
